"Event variant/page","Source","Scene evidence","Role","Character","Lines (zero based)","Classification","Priority","Previous art","Resolved art","Action"
"story-stormveil-village-4-0/page:0/The Challenge Board","src/data/storylines.ts:70","The arena rim at dusk, chalk odds on slate, banner cables humming","background","","0,1,2,3","REPLACE","3","/scenes/story/story-stormveil-village-4-0.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:0/The Challenge Board","src/data/storylines.ts:70","The arena rim at dusk, chalk odds on slate, banner cables humming","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-stormveil-village-4-0/page:1/The Reason Line","src/data/storylines.ts:76","The board clerk's stand, a wet brush waiting","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:1/The Reason Line","src/data/storylines.ts:76","The board clerk's stand, a wet brush waiting","actor","Ledger Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:2/A Shield Reason","src/data/storylines.ts:88","The clerk's stand","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:2/A Shield Reason","src/data/storylines.ts:88","The clerk's stand","actor","Ledger Clerk","0,1,2","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:3/A Ladder Reason","src/data/storylines.ts:95","The clerk's stand","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:3/A Ladder Reason","src/data/storylines.ts:95","The clerk's stand","actor","Ledger Clerk","0,1,2","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-stormveil-village-4-0/page:4/A Debt Reason","src/data/storylines.ts:102","The clerk's stand","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/cinematic/storywide/stormveil-challenge-board-v1.webp","Integrated reviewed replacement: boardGeneration. See production.json for reference lock and production brief."
"story-stormveil-village-4-0/page:4/A Debt Reason","src/data/storylines.ts:102","The clerk's stand","actor","Ledger Clerk","0,1,2","KEEP","5","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","/portraits/cinematic/storywide/ledger-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
