system,id,currency,amount,cadence,authority,notes
combat-mission,combat-e-drill,ryo,10,per claim,api/missions/_mission-catalog.ts,
combat-mission,combat-d-errand,ryo,20,per claim,api/missions/_mission-catalog.ts,
combat-mission,combat-c-patrol,ryo,60,per claim,api/missions/_mission-catalog.ts,
combat-mission,combat-b-escort,ryo,125,per claim,api/missions/_mission-catalog.ts,
combat-mission,combat-a-hunt,ryo,250,per claim,api/missions/_mission-catalog.ts,
combat-mission,combat-s-crisis,ryo,600,per claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-wild-boar,ryo,60,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-wild-boar,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-forest-hawk,ryo,60,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-forest-hawk,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-frost-wolf,ryo,160,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-frost-wolf,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-ash-lizard,ryo,160,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ash-lizard,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-shadow-panther,ryo,340,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-shadow-panther,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-shadow-panther,boneCharms,1,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ironback-bear,ryo,340,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ironback-bear,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-ironback-bear,boneCharms,1,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ember-drake,ryo,750,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ember-drake,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-ember-drake,boneCharms,2,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ember-drake,auraDust,20,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-moon-serpent,ryo,750,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-moon-serpent,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
hunt-mission,hunt-moon-serpent,boneCharms,2,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-moon-serpent,auraDust,20,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ancient-chakra-beast,ryo,1800,per daily claim,api/missions/_mission-catalog.ts,
hunt-mission,hunt-ancient-chakra-beast,statPoints,3,per daily claim,api/missions/_mission-catalog.ts,Daily checklist progression; XP fields are legacy display data.
